name,contact,creditCard_number,creditCard_expirationDate,creditCard_cvv,billingAddress_street,billingAddress_city,billingAddress_state,billingAddress_zip,billingAddress_country,device_type,device_model,device_os,browser_name,browser_version,items_name,items_quantity,referrer,isFraudulent
Brianna Harris,(492)847-4004x373,2225241634603331,03/24,507,5212 Crosby Ways Suite 153,Brianfurt,Washington,74702,Antigua and Barbuda,too,high,few,sense,4,music,2,https://www.wheeler-jackson.com/,True
Tabitha Mills,993.375.8667x1301,2420788609699556,03/25,615,57186 Norma Stravenue Suite 648,Florestown,Colorado,20779,Austria,throughout,minute,like,cost,5,everyone,4,http://shah-wheeler.info/,True
Gregory Bell,340-285-2366x10540,2350815698365924,11/31,697,689 Mason Throughway Suite 628,Mcguireborough,Ohio,79483,Kazakhstan,rate,floor,position,pass,1,involve,3,http://www.allison.com/,True
Jessica Martinez,(688)248-3950x80197,2276299268941664,05/27,340,5500 Collins Park Apt. 235,Port Brittany,New Mexico,36559,Philippines,note,into,side,anything,7,news,4,https://www.williams.com/,True
Tina Jenkins,6482641460,5154121557198220,04/31,583,0847 Ellis Views Apt. 300,Port Justin,Virginia,27152,Panama,realize,officer,audience,other,5,idea,4,https://www.vega.com/,True
Joy Parks,780-476-8971x09619,2229763376616300,05/32,058,474 Heather Mews,West Joshuatown,Colorado,64583,Faroe Islands,affect,rock,technology,close,1,perform,1,http://www.rivera.biz/,False
Nicholas Palmer,+1-294-637-2041,2350000019846114,09/33,280,174 Adams Ville,Bradleyton,Tennessee,42429,Grenada,relationship,role,drug,music,3,learn,1,http://roberts-kim.com/,False
Diane Smith,001-850-913-7282x464,2718492647060381,03/28,777,62359 Diaz Keys,North Ericberg,New Jersey,73022,Portugal,this,sell,family,protect,8,sister,1,http://ruiz-green.com/,True
Jenna Parker,8673076449,2221805098643431,03/24,054,939 Diaz Burgs Apt. 673,Riveraville,Vermont,79243,Sao Tome and Principe,Republican,machine,read,skill,8,reality,3,https://roberson.org/,False
Nancy Henderson,+1-950-455-8204,2292881204409722,02/26,694,8500 Allison Track Suite 061,Christinashire,Iowa,13506,Congo,something,interesting,cost,sing,5,administration,3,http://www.rogers.com/,True
Stephanie Cantrell,971-623-0109,5529180527045539,11/29,206,7278 Cobb Canyon Suite 842,Jonesburgh,Washington,22937,Togo,that,in,under,question,4,small,5,https://scott-jones.com/,False
Brett Lee,599-492-8280x5866,5147529069221795,11/30,622,9333 Sampson Prairie,Port Janetchester,Arizona,61523,Dominica,of,difficult,maintain,that,3,his,1,http://brown.org/,False
Alexa Cisneros,(673)742-3643x64703,2226391266708194,10/29,367,690 Tracey Ridge,Higginsport,Montana,47891,Guinea,simple,what,per,item,6,air,4,https://ali.com/,False
Trevor Kirk,763-733-9835x276,2287133002453867,01/26,982,414 Terrence Park,East Victoriaburgh,Utah,53727,Azerbaijan,skin,front,share,economic,9,arrive,2,https://www.oneal.com/,False
Tyrone Lozano,+1-539-811-7826,2283555500180952,10/31,226,25464 Carrie Radial Apt. 664,Port Emily,Wyoming,44724,Vietnam,hold,window,fly,four,8,brother,3,https://nelson-castro.com/,True
Paul Perez,001-519-472-4776x935,5398844321446957,10/27,058,0013 Katherine Passage Suite 826,Rodriguezfurt,Massachusetts,15551,French Polynesia,green,build,speak,become,4,in,3,https://banks-brown.info/,True
Gina Hart,(766)562-7911x1311,2484105453890822,07/31,691,408 Davis Inlet,East Kayla,Oklahoma,23592,Barbados,military,reality,store,care,8,real,4,http://www.vega-collins.com/,False
Clinton Perez,732-776-5797x46845,2281774897193088,04/28,992,06477 Mary Isle Apt. 247,Nortonland,Idaho,80605,Bahamas,during,he,officer,marriage,7,ever,2,https://www.villarreal.biz/,True
Victoria Burnett,4292335829,5340209857657410,12/29,644,99063 Christopher Glens,Connieberg,Kentucky,23545,Mexico,cause,suggest,best,goal,1,structure,3,http://www.ellis.com/,False
Casey Rodgers MD,001-636-971-1022x97913,2289539743605326,02/28,922,304 Moore Gardens Apt. 995,Robertstad,Maine,07937,Mongolia,too,help,explain,culture,3,continue,4,https://lewis-ferguson.com/,False
Heather Bonilla,(284)703-1459,2701702317830429,09/26,229,23248 Ross Rapid,Kevinstad,Oregon,42183,Iraq,mention,military,goal,center,6,look,4,http://www.mcdonald.com/,False
John Shaw,763.214.8787,2249682202016277,02/28,606,04653 Taylor Mall,Robinshire,Alabama,52460,Western Sahara,stop,agree,beat,material,6,suddenly,3,http://martin-moore.net/,False
Erin Burns,+1-983-532-9715x181,2287389930552804,07/27,228,4710 Michael Plains Apt. 295,East Josephville,Virginia,82364,Denmark,why,buy,soldier,quality,9,network,5,https://brown-pace.net/,True
Matthew Meadows,815-735-1934,5437121564332167,01/34,218,8083 Wilson Fort Suite 881,Flemingmouth,North Carolina,24261,Malawi,be,realize,activity,sit,3,break,1,http://www.ward.com/,True
David Acosta,782.479.3958,5364947954641982,05/30,493,345 Davenport Squares Apt. 877,Johnsshire,Wisconsin,56467,Syrian Arab Republic,Congress,star,rather,bag,5,bag,5,http://krause.biz/,False
Brian Marquez,973-867-4549x5658,2437725606702851,04/29,728,8281 Daniel Walks Suite 139,Hollowaymouth,Vermont,46259,Bangladesh,official,board,paper,decision,9,history,3,https://braun-donovan.com/,True
Brandon Delgado,001-856-651-9646x944,2263451327561067,04/29,846,93124 Gonzalez Locks,New Anita,Pennsylvania,50352,Bolivia,next,evening,last,worry,6,mention,1,http://www.fisher-andersen.info/,True
James Aguirre,429-952-6037x250,5139813109474105,09/26,019,754 Jeffrey Via Apt. 927,Lake Calebstad,Maine,31269,Montenegro,recognize,next,difficult,already,3,reflect,4,https://www.yates.com/,False
Taylor Scott,451-596-7811,2370055461885644,11/26,869,818 Kathy Passage,North Dana,New Mexico,94567,Bahamas,born,speak,against,each,2,house,1,https://www.neal.org/,False
